t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
22.2000,54.000,27.000,368.4000,368.4000,0.000100,0
22.2500,58.000,29.000,386.1600,386.1600,0.000100,0
22.3000,48.000,24.000,404.4000,404.4000,0.000100,0
22.3500,48.000,24.000,392.6400,392.6400,0.000100,0
22.4000,52.000,26.000,431.5200,431.5200,0.000100,0
22.4500,46.000,23.000,414.0000,414.0000,0.000100,0
22.5000,48.000,24.000,442.0800,442.0800,0.000100,0
22.5500,52.000,26.000,414.4800,414.4800,0.000100,0
22.6000,50.000,25.000,433.2000,433.2000,0.000100,0
22.6500,46.000,23.000,413.0400,413.0400,0.000100,0
22.7000,52.000,26.000,395.0400,395.0400,0.000100,0
22.7500,50.000,25.000,444.7200,444.7200,0.000100,0
22.8000,46.000,23.000,397.6800,397.6800,0.000100,0
